0,-29.452002018827002,-25.8639
1,-29.971598916043497,-25.8639
2,-28.037084332016722,-25.8639
3,-27.700782500593387,-25.8639
4,-26.381932593963203,-25.8639
5,-29.454122868970053,-25.8639
6,-27.09274762114791,-25.8639
7,-28.958477287819168,-25.8639
8,-30.462427248005103,-25.8639
9,-29.587510340149766,-25.8639
10,-29.10689999476066,-25.8639
11,-29.6625597637499,-25.8639
12,-30.93532853289149,-25.8639
13,-30.008647539693378,-25.8639
14,-29.907238817982407,-25.8639
15,-28.10452400735602,-25.8639
16,-28.217261377391907,-25.8639
17,-29.32793524279596,-25.8639
18,-28.657071779737496,-25.8639
19,-27.102508927086273,-25.8639
20,-25.50567295058496,-25.8639
21,-27.35890835905625,-25.8639
22,-26.63468104579185,-25.8639
23,-26.530036692541486,-25.8639
24,-24.65780312967989,-25.8639
25,-25.425377998958034,-25.8639
26,-25.686476568443496,-25.8639
27,-25.498462986641016,-25.8639
28,-25.38106539957245,-25.8639
29,-25.691320122918167,-25.8639
30,-27.9876973366032,-25.8639
31,-24.7645979723119,-25.8639
32,-28.31841479784403,-25.8639
33,-26.86127967195994,-25.8639
34,-27.046752066646185,-25.8639
35,-27.303284355306076,-25.8639
36,-25.726731717058904,-25.8639
37,-24.487671647819123,-25.8639
38,-26.993446455062333,-25.8639
39,-26.571941848200893,-25.8639
40,-25.928245791343162,-25.8639
41,-26.612908961169815,-25.8639
42,-27.400312376200894,-25.8639
43,-25.342715247632434,-25.8639
44,-26.23088755657113,-25.8639
45,-26.03333217914495,-25.8639
46,-26.340789873446504,-25.8639
47,-26.028644332471373,-25.8639
48,-26.231468089855436,-25.8639
49,-25.90355154535784,-25.8639
50,-28.241024389437253,-25.8639
51,-25.61376565152605,-25.8639
52,-25.914826886742212,-25.8639
53,-25.844406115043736,-25.8639
54,-27.350730168191767,-25.8639
55,-28.129919222896817,-25.8639
56,-26.162483815939233,-25.8639
57,-27.77758435320029,-25.8639
58,-26.639854683925826,-25.8639
59,-27.93936050091794,-25.8639
